Note: dummy trials
Estimation Method: quasi-static average
Test Type: Not Calibration
===BEGIN_STIFFNESSES===
Stalk,Stiffness (N/m^2),Estimate 1,Estimate 2
1,-12.687867940487624,-12.687867940487624,nan
2,-3.6869666240486176,-3.6869666240486176,nan
3,13.724854235398553,-2.8637485193010153,30.31345699009812
4,13.994240588810086,-2.3249758124779496,30.31345699009812
5,14.020612561890955,-2.272231866316212,30.31345699009812
6,30.31345699009812,nan,30.31345699009812
7,77.03568333981241,nan,77.03568333981241
8,77.03568333981241,nan,77.03568333981241
9,35.10661975110607,nan,35.10661975110607
10,16.837752008829913,nan,16.837752008829913
11,9.972339910814517,2.9310307589358287,17.013649062693204
12,10.163518338768727,3.31338761484425,17.013649062693204
13,3.97573526033383,3.97573526033383,nan
