Note: Chesterfield Repeatability
Estimation Method: quasi-static EI AB/CB
Test Type: Chesterfield Repeatability ; DARLING
height_m=0.902,rel_deflection_m=0.06,EI = (F_B - F_low) * height^3 / (3 * rel_deflection)
===BEGIN_STIFFNESSES===
Plot,Stalk,Estimate AB (N*m^2),Estimate CB (N*m^2),Estimate AB-CB (N*m^2)
3,10,68.768,52.8376,60.8028
3,9,61.9404,53.8132,57.8768
3,8,34.4651,36.6987,35.5819
3,7,32.9587,37.1012,35.03
3,6,27.021,31.3282,29.1746
3,5,29.4397,6.09625,17.768
3,4,37.1017,21.0835,29.0926
3,3,39.7374,27.3006,33.519
3,2,32.6858,21.1714,26.9286
3,1,47.5496,30.2909,38.9203
2,10,51.7528,42.0406,46.8967
2,9,41.7816,27.3888,34.5852
2,8,27.9093,21.8603,24.8848
2,7,38.3583,34.0335,36.1959
2,6,43.9774,41.8582,42.9178
2,5,36.6265,27.7806,32.2036
2,4,20.0809,19.5843,19.8326
2,3,30.9434,19.354,25.1487
2,2,52.9567,42.9403,47.9485
2,1,40.6795,48.7599,44.7197
1,10,43.285,63.0592,53.1721
1,9,49.9565,61.9201,55.9383
1,8,47.6048,42.8872,45.246
1,7,34.1291,25.5604,29.8447
1,6,28.9726,21.133,25.0528
1,5,25.2727,29.72,27.4963
1,4,32.1445,29.6934,30.919
1,3,55.3144,47.9327,51.6236
1,2,25.6188,25.6476,25.6332
1,1,94.749,106.077,100.413
