X(mm),Y(mm),Z(mm)
-59.984468,1150.000000,0.000000
-59.984468,1149.569914,0.000000
-59.958116,1149.139828,0.000000
-59.830232,1148.709742,0.000000
-59.702349,1148.279656,0.000000
-59.574465,1147.849570,0.000000
-59.446582,1147.419484,0.000000
-59.318698,1146.989398,0.000000
-59.190814,1146.559312,0.000000
-59.062931,1146.129226,0.000000
-58.935047,1145.699140,0.000000
-58.807164,1145.269054,0.000000
-58.679280,1144.838968,0.000000
-58.551397,1144.408882,0.000000
-58.423513,1143.978796,0.000000
-58.295630,1143.548710,0.000000
-58.167746,1143.118624,0.000000
-58.039862,1142.688538,0.000000
-57.911979,1142.258452,0.000000
-57.784095,1141.828366,0.000000
-57.656212,1141.398280,0.000000
-57.528328,1140.968194,0.000000
-57.400445,1140.538108,0.000000
-57.272561,1140.108022,0.000000
-57.144677,1139.677936,0.000000
-57.016794,1139.247850,0.000000
-56.888910,1138.817764,0.000000
-56.761027,1138.387678,0.000000
-56.633143,1137.957592,0.000000
-56.505260,1137.527506,0.000000
-56.377376,1137.097419,0.000000
-56.249493,1136.667333,0.000000
-56.121609,1136.237247,0.000000
-55.993725,1135.807161,0.000000
-55.865842,1135.377075,0.000000
-55.737958,1134.946989,0.000000
-55.610075,1134.516903,0.000000
-55.482191,1134.086817,0.000000
-55.354308,1133.656731,0.000000
-55.226424,1133.226645,0.000000
-55.098540,1132.796559,0.000000
-54.970657,1132.366473,0.000000
-54.842773,1131.936387,0.000000
-54.714890,1131.506301,0.000000
-54.587006,1131.076215,0.000000
-54.459123,1130.646129,0.000000
-54.331239,1130.216043,0.000000
-54.203356,1129.785957,0.000000
-54.075472,1129.355871,0.000000
-53.947588,1128.925785,0.000000
-53.819705,1128.495699,0.000000
-53.691821,1128.065613,0.000000
-53.563938,1127.635527,0.000000
-53.436054,1127.205441,0.000000
-53.308171,1126.775355,0.000000
-53.180287,1126.345269,0.000000
-53.052403,1125.915183,0.000000
-52.924520,1125.485097,0.000000
-52.796636,1125.055011,0.000000
-52.668753,1124.624925,0.000000
-52.540869,1124.194839,0.000000
-52.412986,1123.764753,0.000000
-52.285102,1123.334667,0.000000
-52.157219,1122.904581,0.000000
-52.029335,1122.474495,0.000000
-51.901451,1122.044409,0.000000
-51.773568,1121.614323,0.000000
-51.645684,1121.184237,0.000000
-51.517801,1120.754151,0.000000
-51.389917,1120.324065,0.000000
-51.262034,1119.893979,0.000000
-51.134150,1119.463893,0.000000
-51.006266,1119.033807,0.000000
-50.878383,1118.603721,0.000000
-50.750499,1118.173635,0.000000
-50.622616,1117.743549,0.000000
-50.494732,1117.313463,0.000000
-50.366849,1116.883377,0.000000
-50.238965,1116.453291,0.000000
