# zone=Tip
# idx_a=0 (length), idx_b=1 (delta_x), idx_c=2 (tp)
# range_a=[0.24, 0.5], steps_a=6
# range_b=[-0.06, -0.4], steps_b=6
# range_c=[0.6, 1.4], steps_c=6
length,delta_x,tp,zone_length,rms_lag_x,peak_lag_x,rms_lag_y,peak_lag_y,rms_accel_x,peak_accel_x,rms_accel_y,peak_accel_y,L2.5_rms_ay
0.24,-0.06,0.6,0.25395808,0.017759173,0.03806213,0.0092581597,0.018161067,0.58258778,3.6812489,0.56578347,1.8876719,0.018388882
0.24,-0.06,0.76,0.28060108,0.017728832,0.037973783,0.0076587228,0.01514955,0.50004183,3.4668215,0.42052545,1.7527972,0.017539435
0.24,-0.06,0.92,0.29857708,0.017981166,0.03925457,0.0071045981,0.014238339,0.47537076,3.4703244,0.36570937,1.6578986,0.017814648
0.24,-0.06,1.08,0.31120308,0.017580258,0.038305765,0.0070019971,0.013967175,0.46937352,3.4918323,0.35764644,1.7201946,0.019322513
0.24,-0.06,1.24,0.32019108,0.017588342,0.03890087,0.0070212933,0.014160769,0.4754002,3.6083362,0.35746031,1.7079731,0.020737237
0.24,-0.06,1.4,0.32693208,0.017253838,0.038167929,0.0071123583,0.014401321,0.47944208,3.6734059,0.37188823,1.8741526,0.022727741
0.24,-0.128,0.6,0.19006308,0.016034964,0.037301298,0.017686906,0.031106627,0.84872138,4.5325056,1.3381101,4.7643079,0.021073479
0.24,-0.128,0.76,0.21589308,0.016682396,0.038016471,0.012840385,0.023877051,0.79216497,4.7855514,0.91118366,3.3963925,0.019733436
0.24,-0.128,0.92,0.23613908,0.016878183,0.038612947,0.01103097,0.021233847,0.69823197,4.4772926,0.76683487,3.2737059,0.02077885
0.24,-0.128,1.08,0.25203908,0.016804995,0.038496721,0.010328967,0.020124436,0.64114764,4.2657489,0.71855099,3.3481116,0.022915392
0.24,-0.128,1.24,0.26475908,0.016444452,0.037036658,0.01003502,0.019605653,0.63050316,4.303699,0.68786904,3.2439917,0.024810351
0.24,-0.128,1.4,0.27482908,0.016416743,0.037209074,0.0099478187,0.019535241,0.62223538,4.3334846,0.68003906,3.2558384,0.02692716
0.24,-0.196,0.6,0.17040908,0.014780184,0.034593386,0.024076027,0.040668599,0.95702376,4.6426877,1.812997,6.0273459,0.021733461
0.24,-0.196,0.76,0.19415808,0.01614987,0.03826121,0.016794696,0.029872394,0.8859592,5.0010098,1.2730804,4.6439662,0.021146792
0.24,-0.196,0.92,0.21389808,0.016584738,0.039441069,0.013876057,0.025827007,0.78455417,4.7409777,1.0405806,4.2621773,0.022018764
0.24,-0.196,1.08,0.23017308,0.016522242,0.039000894,0.012550333,0.024015398,0.71882309,4.5497208,0.93637905,4.1394591,0.023800605
0.24,-0.196,1.24,0.24350808,0.016041493,0.036692747,0.011924628,0.022946072,0.69877811,4.550008,0.87998895,3.9833995,0.025749016
0.24,-0.196,1.4,0.25453308,0.015956339,0.036247755,0.01158015,0.022393933,0.69793546,4.6662863,0.84236855,3.8179953,0.027533582
0.24,-0.264,0.6,0.16032108,0.013993901,0.032710537,0.029330965,0.048565596,1.0479096,4.428435,2.1312313,6.8492681,0.02193346
0.24,-0.264,0.76,0.18236908,0.015874103,0.039482191,0.020735912,0.035742697,0.84443869,4.3867978,1.617228,5.9653368,0.022969378
0.24,-0.264,0.92,0.20150808,0.015489793,0.036004704,0.016558287,0.029713693,0.81516472,4.6506175,1.2848793,5.083694,0.023420354
0.24,-0.264,1.08,0.21767808,0.015519401,0.035877282,0.014790994,0.027468887,0.7591179,4.5559013,1.1854572,5.2729733,0.02620732
0.24,-0.264,1.24,0.23122308,0.016147768,0.037994654,0.013065531,0.025025894,0.7691943,4.8940891,0.98034899,4.2167692,0.025203371
0.24,-0.264,1.4,0.24256308,0.01595358,0.037196059,0.012781196,0.024556535,0.73098266,4.7585745,0.96375315,4.2977582,0.027927209
0.24,-0.332,0.6,0.15397708,0.013802282,0.033486761,0.033341196,0.054831476,1.0315277,4.4622189,2.3090872,7.2386612,0.021482286
0.24,-0.332,0.76,0.17477708,0.01471816,0.035563864,0.024131557,0.040436003,0.84707058,3.9726414,1.8783833,6.7450839,0.023988075
0.24,-0.332,0.92,0.19328908,0.015892764,0.039004558,0.01835869,0.032526098,0.84830206,4.7038561,1.4348045,5.5052005,0.023567363
0.24,-0.332,1.08,0.20917308,0.016050516,0.038821394,0.015646113,0.028873879,0.81373809,4.855391,1.2163498,4.9878167,0.024340132
0.24,-0.332,1.24,0.22271808,0.015479784,0.035799235,0.014663092,0.027531357,0.75588664,4.6364328,1.1403511,4.9151192,0.026694836
0.24,-0.332,1.4,0.23426808,0.016252788,0.039797627,0.014079405,0.02690181,0.70388735,4.4849748,1.105442,5.0170439,0.029364237
0.24,-0.4,0.6,0.14960908,0.013099599,0.031916105,0.037800854,0.061484296,1.1813218,4.1789985,2.4800297,7.6523795,0.021470974
0.24,-0.4,0.76,0.16926508,0.01456991,0.035416787,0.025905043,0.043151599,0.92005913,4.3301378,1.9750464,6.740025,0.023280682
0.24,-0.4,0.92,0.18725708,0.015780688,0.039724036,0.020619811,0.035826008,0.80664909,4.1842129,1.6198661,6.1488148,0.024579595
0.24,-0.4,1.08,0.20296108,0.016140173,0.03984925,0.016732945,0.030566882,0.85496812,5.0055547,1.3000407,5.1480149,0.024126195
0.24,-0.4,1.24,0.21652308,0.015557099,0.036599189,0.015401408,0.028711386,0.80211683,4.8587528,1.1975426,5.0087763,0.026124709
0.24,-0.4,1.4,0.22817808,0.015360551,0.035504101,0.01482588,0.027927319,0.75072661,4.680174,1.158965,5.0327518,0.028824056
0.292,-0.06,0.6,0.28386108,0.018389377,0.03898484,0.0075623325,0.015184518,0.47152415,3.2193422,0.41039181,1.3941157,0.017618272
0.292,-0.06,0.76,0.31626108,0.018247396,0.038669819,0.0063273587,0.012634932,0.40797336,3.026493,0.2881524,1.2645402,0.016208268
0.292,-0.06,0.92,0.33818508,0.018011009,0.038318696,0.0059462699,0.011803324,0.38650329,2.9979144,0.24787124,1.2318165,0.016485884
