# zone=Leading
# idx_a=0 (length), idx_b=1 (tp)
# range_a=[0.55, 0.7], steps_a=10
# range_b=[1.0, 1.3], steps_b=10
length,tp,zone_length,rms_lag_x,peak_lag_x,rms_lag_y,peak_lag_y,rms_accel_x,peak_accel_x,rms_accel_y,peak_accel_y,L2.5_rms_ay
0.55,1,0.666,0.013675941,0.014999897,0.014090142,0.022592901,0.05349373,0.17763417,0.055158683,0.12655365,0.019966386
0.55,1.0333333,0.666,0.013672028,0.014999897,0.014120249,0.022696079,0.052608304,0.18434307,0.052286636,0.10687379,0.01892676
0.55,1.0666667,0.666,0.013667631,0.014999896,0.014152217,0.022822791,0.052754456,0.18959006,0.050511221,0.10057405,0.018284094
0.55,1.1,0.666,0.013662952,0.014999895,0.014184693,0.022945909,0.053000984,0.15610927,0.048928903,0.094275946,0.017711325
0.55,1.1333333,0.666,0.013657632,0.014999894,0.01422178,0.023085653,0.05343405,0.15442958,0.048433309,0.10010617,0.017531929
0.55,1.1666667,0.666,0.013651876,0.014999893,0.014261205,0.023227349,0.058003095,0.1595464,0.048187333,0.11301226,0.017442891
0.55,1.2,0.666,0.013646113,0.014999891,0.014298274,0.023370776,0.049257227,0.12094958,0.04792013,0.10873996,0.017346169
0.55,1.2333333,0.666,0.013640102,0.01499989,0.014337121,0.023519294,0.051229844,0.1181646,0.048332831,0.11621524,0.017495558
0.55,1.2666667,0.666,0.013633712,0.014999889,0.014380215,0.023656079,0.058278465,0.17873645,0.048715167,0.11601993,0.017633957
0.55,1.3,0.666,0.013626863,0.014999887,0.014425233,0.023822311,0.060968708,0.16688908,0.050022885,0.12471706,0.018107326
0.56666667,1,0.68266667,0.01372629,0.014999801,0.013872859,0.022049141,0.046611658,0.18997983,0.050218583,0.11265911,0.019336871
0.56666667,1.0333333,0.68266667,0.013722645,0.014999835,0.013902315,0.022146686,0.05640948,0.17205424,0.048235996,0.1037655,0.018573468
0.56666667,1.0666667,0.68266667,0.01371857,0.014999795,0.013932428,0.022250002,0.050543123,0.14369527,0.046303582,0.097376175,0.017829384
0.56666667,1.1,0.68266667,0.013713965,0.01499983,0.013966361,0.02239438,0.051092263,0.18343359,0.045214494,0.08917237,0.017410026
0.56666667,1.1333333,0.68266667,0.013708776,0.014999835,0.014003289,0.022532827,0.053833592,0.17914214,0.044867913,0.095143208,0.017276574
0.56666667,1.1666667,0.68266667,0.013703411,0.014999833,0.014039294,0.022677141,0.051921945,0.15674874,0.044326947,0.093425774,0.017068272
0.56666667,1.2,0.68266667,0.01369761,0.014999793,0.014079445,0.022826785,0.049842039,0.16350431,0.044397134,0.098657789,0.017095298
0.56666667,1.2333333,0.68266667,0.01369181,0.014999816,0.014118707,0.022980114,0.052628756,0.14055701,0.044697955,0.11037628,0.017211131
0.56666667,1.2666667,0.68266667,0.013685889,0.014999784,0.014155592,0.023127703,0.05619318,0.16560778,0.045396657,0.11097288,0.017480169
0.56666667,1.3,0.68266667,0.013679466,0.014999827,0.014200124,0.023278881,0.058490868,0.16464822,0.046161155,0.11205083,0.017774542
0.58333333,1,0.69933333,0.013773522,0.014999833,0.013667784,0.021559239,0.0478883,0.15217179,0.046330755,0.10563947,0.018948723
0.58333333,1.0333333,0.69933333,0.013770076,0.014999832,0.013696027,0.021628703,0.051649587,0.1678286,0.044574238,0.086928975,0.018230329
0.58333333,1.0666667,0.69933333,0.013766172,0.014999832,0.013726574,0.021733204,0.052422604,0.1596467,0.042922679,0.081433594,0.017554861
0.58333333,1.1,0.69933333,0.013761511,0.014999762,0.013761372,0.021855414,0.04023004,0.12989893,0.041750123,0.084809458,0.017075299
0.58333333,1.1333333,0.69933333,0.013756556,0.014999815,0.013798775,0.021998446,0.05215827,0.14762159,0.041579424,0.095913844,0.017005486
0.58333333,1.1666667,0.69933333,0.013751625,0.014999828,0.013833289,0.022143022,0.046958575,0.14707864,0.04113955,0.09030693,0.016825582
0.58333333,1.2,0.69933333,0.01374597,0.014999822,0.01387311,0.022297823,0.051018787,0.14944905,0.041627847,0.097231181,0.01702529
0.58333333,1.2333333,0.69933333,0.013740351,0.014999791,0.013910224,0.022459951,0.051031177,0.14841321,0.041987779,0.10266443,0.017172498
0.58333333,1.2666667,0.69933333,0.013734309,0.014999829,0.013953314,0.022613031,0.055369565,0.13855652,0.042302181,0.10055678,0.017301084
0.58333333,1.3,0.69933333,0.01372823,0.014999835,0.013992723,0.022772907,0.053334033,0.14615891,0.042958692,0.10883825,0.01756959
0.6,1,0.716,0.013817975,0.014999794,0.01347267,0.021111715,0.045106535,0.15491336,0.04254393,0.089344754,0.01845526
0.6,1.0333333,0.716,0.013814433,0.014999828,0.013504972,0.021162152,0.050989531,0.13016669,0.041403663,0.083316349,0.01796062
0.6,1.0666667,0.716,0.013810516,0.014999821,0.013535756,0.021248702,0.04375954,0.14542775,0.039470164,0.078538288,0.017121882
0.6,1.1,0.716,0.013806149,0.014999828,0.013570266,0.021364323,0.047552001,0.14630875,0.038943442,0.085542591,0.016893393
0.6,1.1333333,0.716,0.013801592,0.01499983,0.013602959,0.021499003,0.048110913,0.13564221,0.03850631,0.093258535,0.016703768
0.6,1.1666667,0.716,0.013796466,0.014999818,0.013640493,0.021647745,0.044670829,0.13159883,0.038403005,0.085321578,0.016658956
0.6,1.2,0.716,0.013791371,0.014999787,0.0136768,0.021796705,0.04634852,0.13693084,0.038472699,0.095522501,0.016689188
0.6,1.2333333,0.716,0.013786009,0.014999789,0.013714075,0.02195813,0.048451802,0.13701387,0.038831835,0.092839411,0.016844979
0.6,1.2666667,0.716,0.013780195,0.014999816,0.01375331,0.022111489,0.049425667,0.1351304,0.038996568,0.092990685,0.016916439
0.6,1.3,0.716,0.013774412,0.014999811,0.013792551,0.022270599,0.049602997,0.12620864,0.039987957,0.10199392,0.017346496
0.61666667,1,0.73266667,0.013867951,0.014999827,0.013247155,0.020720768,0.044744477,0.1390918,0.039479413,0.082535626,0.018139979
0.61666667,1.0333333,0.73266667,0.013864684,0.014999813,0.013275508,0.020737052,0.050603946,0.14617537,0.038155889,0.082798822,0.017531846
0.61666667,1.0666667,0.73266667,0.013860786,0.014999828,0.013309978,0.020802269,0.044402968,0.14865029,0.036991151,0.078021449,0.016996673
0.61666667,1.1,0.73266667,0.013856515,0.014999819,0.01334475,0.020897657,0.048387914,0.13904807,0.036705901,0.085406751,0.016865607
