# zone=Tip
# idx_a=0 (length), idx_b=1 (delta_x)
# range_a=[0.3, 0.6], steps_a=10
# range_b=[-0.06, -0.2], steps_b=10
length,delta_x,zone_length,rms_lag_x,peak_lag_x,rms_lag_y,peak_lag_y,rms_accel_x,peak_accel_x,rms_accel_y,peak_accel_y,L2.5_rms_ay
0.3,-0.06,0.37965708,0.01757246,0.038359332,0.0056487452,0.011693878,0.37943968,3.1462969,0.22791734,1.3303118,0.020242126
0.3,-0.075555556,0.35592908,0.017627756,0.039351396,0.0062288335,0.012924185,0.42914942,3.450107,0.28772359,1.5942966,0.021746238
0.3,-0.091111111,0.33955808,0.017534749,0.039597938,0.0067227285,0.013849125,0.45975139,3.6068225,0.34785925,1.9543082,0.023371615
0.3,-0.10666667,0.32740508,0.017021357,0.03782338,0.0072264994,0.014728103,0.51277711,3.9293861,0.39541876,2.1049,0.024253297
0.3,-0.12222222,0.31765308,0.016813041,0.037265976,0.0076440384,0.015478893,0.52445634,3.9532452,0.43503114,2.2357441,0.024740189
0.3,-0.13777778,0.30980908,0.016997459,0.038635379,0.0080359396,0.016202783,0.51682664,3.8452458,0.49499393,2.7004963,0.026444491
0.3,-0.15333333,0.30313108,0.017142582,0.03940765,0.0082858541,0.016730948,0.56049862,4.1547344,0.50365559,2.5223948,0.025480609
0.3,-0.16888889,0.29740708,0.017143658,0.039671776,0.0085801909,0.017271504,0.57924808,4.2562105,0.53230136,2.6087902,0.025676499
0.3,-0.18444444,0.29253108,0.017028474,0.039498347,0.0089152629,0.017834056,0.58117289,4.212774,0.57683769,2.9050942,0.026698303
0.3,-0.2,0.28807908,0.016877142,0.038939261,0.0091388488,0.018229681,0.60845724,4.3735914,0.59161911,2.8528976,0.026352479
0.33333333,-0.06,0.40892508,0.017898852,0.039230913,0.0050741309,0.01042517,0.33314162,2.8647674,0.18226869,1.2376079,0.01949043
0.33333333,-0.075555556,0.38257308,0.017707311,0.039212984,0.0055688381,0.011518685,0.3740758,3.1039898,0.23501176,1.51905,0.021275295
0.33333333,-0.091111111,0.36438208,0.017276593,0.037967661,0.0060300021,0.012467552,0.41366623,3.3450201,0.28123807,1.7213216,0.02254066
0.33333333,-0.10666667,0.35079308,0.017470782,0.039247638,0.0063972174,0.013241741,0.43588676,3.467319,0.32222183,1.9323688,0.023484563
0.33333333,-0.12222222,0.34009308,0.017399711,0.039335061,0.0067580226,0.013952867,0.46100369,3.6208728,0.35999898,2.0969438,0.024282632
0.33333333,-0.13777778,0.33132708,0.017142999,0.038454557,0.0071017764,0.014601307,0.4997399,3.8666433,0.38368006,2.0591456,0.024244406
0.33333333,-0.15333333,0.32390708,0.01731905,0.039525797,0.0073853531,0.015164225,0.51133058,3.9101707,0.41340846,2.1993884,0.024684848
0.33333333,-0.16888889,0.31765308,0.016751493,0.037249234,0.0077167712,0.015668761,0.52765124,3.9764404,0.44775143,2.3571688,0.025463591
0.33333333,-0.18444444,0.31214108,0.016742438,0.037323174,0.0079440576,0.016082459,0.55346489,4.1394471,0.46140491,2.2913081,0.025116523
0.33333333,-0.2,0.30726508,0.016619153,0.037037555,0.0082272372,0.016577296,0.55500357,4.1082528,0.49954951,2.5579582,0.026143368
0.36666667,-0.06,0.43823608,0.018186995,0.039943554,0.0046681224,0.0095969426,0.29950174,2.6810161,0.1410409,1.0116568,0.017931449
0.36666667,-0.075555556,0.40924908,0.017790545,0.039099726,0.0051030759,0.010677391,0.34387262,2.967176,0.18237186,1.1844814,0.019540114
0.36666667,-0.091111111,0.38926908,0.017550493,0.038650287,0.005481415,0.011469074,0.37699582,3.1645445,0.22243665,1.4018882,0.021029604
0.36666667,-0.10666667,0.37433308,0.017361002,0.038249047,0.0058266064,0.012221599,0.40682244,3.3509946,0.25496513,1.5209171,0.021858799
0.36666667,-0.12222222,0.36256308,0.017397184,0.038735679,0.0061219307,0.012841583,0.43660521,3.5402153,0.28605563,1.6596603,0.022641721
0.36666667,-0.13777778,0.35282608,0.017214198,0.038306613,0.0063941366,0.013307141,0.45734609,3.6519731,0.32770896,1.9823063,0.024232041
0.36666667,-0.15333333,0.34469408,0.017480456,0.039622463,0.0066457414,0.013911833,0.47295182,3.7491966,0.33383651,1.7950212,0.023287259
0.36666667,-0.16888889,0.33773908,0.017017788,0.037870256,0.0069158217,0.014290843,0.48543728,3.7849673,0.36590883,2.0054769,0.02425639
0.36666667,-0.18444444,0.33175108,0.01706075,0.038233949,0.0071474094,0.0147534,0.50677558,3.9171666,0.38261267,1.9918561,0.024254381
0.36666667,-0.2,0.32634508,0.017017588,0.038252756,0.0073510775,0.015117367,0.51592565,3.9487971,0.40762095,2.153015,0.024799856
0.4,-0.06,0.46755708,0.018031079,0.039047632,0.0044025179,0.0089570652,0.27272383,2.504671,0.11162771,0.82453436,0.016686245
0.4,-0.075555556,0.43583808,0.0178502,0.039005353,0.0047284638,0.0097921912,0.31148693,2.766583,0.14854645,1.0593336,0.018628384
0.4,-0.091111111,0.41410908,0.017781204,0.039219141,0.0050312476,0.010531581,0.34192491,2.9571907,0.18210427,1.2411183,0.020095879
0.4,-0.10666667,0.39780108,0.017724972,0.039400455,0.0052949566,0.011108429,0.36282301,3.0905281,0.21496528,1.4595906,0.021455232
0.4,-0.12222222,0.38492608,0.017380875,0.038236194,0.005609466,0.011865916,0.3962197,3.3038293,0.23268069,1.3865967,0.02138965
0.4,-0.13777778,0.37444008,0.017303605,0.038183323,0.0058508279,0.012362346,0.41539608,3.4240343,0.25572877,1.4900906,0.021939938
0.4,-0.15333333,0.36555908,0.017579119,0.039703016,0.0060226711,0.012650795,0.4078217,3.3151432,0.29350937,1.8732702,0.023714605
0.4,-0.16888889,0.35796208,0.017234258,0.038387769,0.0062826613,0.013181009,0.44163558,3.5529834,0.30847083,1.8224762,0.023648666
0.4,-0.18444444,0.35132808,0.017338911,0.038992927,0.0064754846,0.013623171,0.46393621,3.6985403,0.31960119,1.7651171,0.023382478
0.4,-0.2,0.34544308,0.017350658,0.03926542,0.0066561427,0.013924496,0.4721602,3.7384275,0.34473765,1.9611249,0.024178533
