# zone=Trailing
# idx_a=1 (length), idx_b=2 (tp)
# range_a=[0.5, 0.8], steps_a=10
# range_b=[1.05, 1.3], steps_b=10
length,tp,zone_length,rms_lag_x,peak_lag_x,rms_lag_y,peak_lag_y,rms_accel_x,peak_accel_x,rms_accel_y,peak_accel_y,L2.5_rms_ay
0.5,1.05,0.617,0.014594266,0.015308904,0.0057484382,0.01022441,0.070480821,0.17452706,0.061540558,0.15166128,0.018402395
0.5,1.0777778,0.617,0.014589314,0.015303613,0.0057962204,0.01024057,0.071789807,0.20737847,0.059158232,0.14180939,0.017690011
0.5,1.1055556,0.617,0.014583546,0.015299179,0.0058513489,0.010325263,0.074725998,0.23996979,0.057581109,0.13932297,0.017218406
0.5,1.1333333,0.617,0.014577439,0.015294107,0.0059120649,0.010441727,0.069428216,0.20243663,0.056730965,0.13130619,0.016964188
0.5,1.1611111,0.617,0.014571343,0.015290858,0.0059711332,0.010557369,0.071672926,0.23772251,0.056021179,0.13821207,0.016751942
0.5,1.1888889,0.617,0.014565077,0.01528588,0.0060310078,0.01068195,0.068064804,0.22607596,0.055799362,0.1281401,0.016685612
0.5,1.2166667,0.617,0.014557473,0.015283203,0.0060990274,0.010830416,0.073968573,0.2120468,0.055964119,0.12910789,0.016734879
0.5,1.2444444,0.617,0.01455016,0.015280421,0.0061642214,0.010976536,0.069745042,0.21106209,0.056175598,0.11809382,0.016798118
0.5,1.2722222,0.617,0.014543173,0.015279556,0.0062320002,0.011139657,0.066374494,0.21904914,0.056938608,0.12670826,0.017026279
0.5,1.3,0.617,0.014535718,0.015276344,0.0063035011,0.011324759,0.074665015,0.25517837,0.056599881,0.12120225,0.01692499
0.53333333,1.05,0.65033333,0.014669164,0.01528866,0.0053084297,0.0087530785,0.061899068,0.16829053,0.04881758,0.110371,0.016650078
0.53333333,1.0777778,0.65033333,0.014664779,0.015282392,0.0053627931,0.00885917,0.072628485,0.21397502,0.047147826,0.11004952,0.01608058
0.53333333,1.1055556,0.65033333,0.014659293,0.01527696,0.0054199749,0.0089429034,0.061737108,0.18044544,0.045846205,0.10604126,0.01563664
0.53333333,1.1333333,0.65033333,0.014654028,0.015273632,0.0054796229,0.0090714058,0.062384511,0.16998022,0.045056475,0.095900817,0.015367289
0.53333333,1.1611111,0.65033333,0.014648024,0.015269774,0.0055435816,0.0092309054,0.069508784,0.20265637,0.044481928,0.097150951,0.01517133
0.53333333,1.1888889,0.65033333,0.01464193,0.015267742,0.0056088239,0.0093751155,0.068499889,0.18435594,0.044430331,0.089064808,0.015153731
0.53333333,1.2166667,0.65033333,0.014635824,0.01526579,0.0056738182,0.0095239024,0.070661674,0.20782006,0.044610314,0.08877574,0.015215118
0.53333333,1.2444444,0.65033333,0.01462912,0.015263021,0.0057402663,0.0096937421,0.069223918,0.21080121,0.04489751,0.096073741,0.015313071
0.53333333,1.2722222,0.65033333,0.014622606,0.015260663,0.0058058768,0.0098455423,0.068449955,0.19148526,0.04528553,0.092315748,0.015445412
0.53333333,1.3,0.65033333,0.014615904,0.01525711,0.005872605,0.010010815,0.071680522,0.2059286,0.04589466,0.090783183,0.015653166
0.56666667,1.05,0.68366667,0.014733064,0.015269731,0.0049326825,0.0079155783,0.067449292,0.19634738,0.039143294,0.093932969,0.015127542
0.56666667,1.0777778,0.68366667,0.01472892,0.015264134,0.0049890461,0.0079155783,0.062378176,0.19051728,0.037759801,0.095452948,0.01459287
0.56666667,1.1055556,0.68366667,0.014724286,0.01525824,0.0050488404,0.0079413562,0.069065319,0.18678087,0.037143663,0.084937759,0.014354754
0.56666667,1.1333333,0.68366667,0.014719504,0.015256106,0.0051098051,0.0080904191,0.062259593,0.17120259,0.036470676,0.086715745,0.014094667
