X(mm),Y(mm),Z(mm)
-60.000000,-957.769546,0.000000
-59.959995,-957.656546,0.000000
-59.919990,-957.543546,0.000000
-59.879984,-957.430546,0.000000
-59.839979,-957.317546,0.000000
-59.799974,-957.204546,0.000000
-59.759969,-957.091546,0.000000
-59.719963,-956.978546,0.000000
-59.679958,-956.865546,0.000000
-59.639953,-956.752546,0.000000
-59.599948,-956.639546,0.000000
-59.559942,-956.526546,0.000000
-59.519937,-956.413546,0.000000
-59.479932,-956.300546,0.000000
-59.439927,-956.187546,0.000000
-59.399921,-956.074546,0.000000
-59.359916,-955.961546,0.000000
-59.319911,-955.848546,0.000000
-59.279906,-955.735546,0.000000
-59.239900,-955.622546,0.000000
-59.199895,-955.509546,0.000000
-59.159890,-955.396546,0.000000
-59.119885,-955.283546,0.000000
-59.079879,-955.170546,0.000000
-59.039874,-955.057546,0.000000
-58.999869,-954.944546,0.000000
-58.959864,-954.831546,0.000000
-58.919858,-954.718546,0.000000
-58.879853,-954.605546,0.000000
-58.839848,-954.492546,0.000000
-58.799843,-954.379546,0.000000
-58.759837,-954.266546,0.000000
-58.719832,-954.153546,0.000000
-58.679827,-954.040546,0.000000
-58.639822,-953.927546,0.000000
-58.599816,-953.814546,0.000000
-58.559811,-953.701546,0.000000
-58.519806,-953.588546,0.000000
-58.479801,-953.475546,0.000000
-58.439795,-953.362546,0.000000
-58.399790,-953.249546,0.000000
-58.359785,-953.136546,0.000000
-58.319780,-953.023546,0.000000
-58.279775,-952.910546,0.000000
-58.239769,-952.797546,0.000000
-58.199764,-952.684546,0.000000
-58.159759,-952.571546,0.000000
-58.119754,-952.458546,0.000000
-58.079748,-952.345546,0.000000
-58.039743,-952.232546,0.000000
-57.999738,-952.119546,0.000000
-57.959733,-952.006546,0.000000
-57.919727,-951.893546,0.000000
-57.879722,-951.780546,0.000000
-57.839717,-951.667546,0.000000
-57.799712,-951.554546,0.000000
-57.759706,-951.441546,0.000000
-57.719701,-951.328546,0.000000
-57.679696,-951.215546,0.000000
-57.639691,-951.102546,0.000000
-57.599685,-950.989546,0.000000
-57.559680,-950.876546,0.000000
-57.519675,-950.763546,0.000000
-57.479670,-950.650546,0.000000
-57.439664,-950.537546,0.000000
-57.399659,-950.424546,0.000000
-57.359654,-950.311546,0.000000
-57.319649,-950.198546,0.000000
-57.279643,-950.085546,0.000000
-57.239638,-949.972546,0.000000
-57.199633,-949.859546,0.000000
-57.159628,-949.746546,0.000000
-57.119622,-949.633546,0.000000
-57.079617,-949.520546,0.000000
-57.039612,-949.407546,0.000000
-56.999607,-949.294546,0.000000
-56.959601,-949.181546,0.000000
-56.919596,-949.068546,0.000000
-56.879591,-948.955546,0.000000
-56.839586,-948.842546,0.000000
-56.799580,-948.729546,0.000000
-56.759575,-948.616546,0.000000
-56.719570,-948.503546,0.000000
-56.679565,-948.390546,0.000000
-56.639560,-948.277546,0.000000
-56.599554,-948.164546,0.000000
-56.559549,-948.051546,0.000000
-56.519544,-947.938546,0.000000
-56.479539,-947.825546,0.000000
-56.439533,-947.712546,0.000000
-56.399528,-947.599546,0.000000
-56.359523,-947.486546,0.000000
-56.319518,-947.373546,0.000000
-56.279512,-947.260546,0.000000
-56.239507,-947.147546,0.000000
-56.199502,-947.034546,0.000000
-56.159497,-946.921546,0.000000
-56.119491,-946.808546,0.000000
-56.079486,-946.695546,0.000000
-56.039481,-946.582546,0.000000
-55.999476,-946.469546,0.000000
-55.959470,-946.356546,0.000000
-55.919465,-946.243546,0.000000
-55.879460,-946.130546,0.000000
-55.839455,-946.017546,0.000000
-55.799449,-945.904546,0.000000
-55.759444,-945.791546,0.000000
-55.719439,-945.678546,0.000000
-55.679434,-945.565546,0.000000
-55.639428,-945.452546,0.000000
-55.599423,-945.339546,0.000000
-55.559418,-945.226546,0.000000
-55.519413,-945.113546,0.000000
-55.479407,-945.000546,0.000000
-55.439402,-944.887546,0.000000
-55.399397,-944.774546,0.000000
-55.359392,-944.661546,0.000000
-55.319386,-944.548546,0.000000
-55.279381,-944.435546,0.000000
-55.239376,-944.322546,0.000000
-55.199371,-944.209546,0.000000
-55.159365,-944.096546,0.000000
-55.119360,-943.983546,0.000000
-55.079355,-943.870546,0.000000
-55.039350,-943.757546,0.000000
-54.999345,-943.644546,0.000000
-54.959339,-943.531546,0.000000
-54.919334,-943.418546,0.000000
-54.879329,-943.305546,0.000000
-54.839324,-943.192546,0.000000
-54.799318,-943.079546,0.000000
-54.759313,-942.966546,0.000000
-54.719308,-942.853546,0.000000
-54.679303,-942.740546,0.000000
-54.639297,-942.627546,0.000000
-54.599292,-942.514546,0.000000
-54.559287,-942.401546,0.000000
-54.519282,-942.288546,0.000000
-54.479276,-942.175546,0.000000
-54.439271,-942.062546,0.000000
-54.399266,-941.949546,0.000000
-54.359261,-941.836546,0.000000
-54.319255,-941.723546,0.000000
-54.279250,-941.610546,0.000000
-54.239245,-941.497546,0.000000
-54.199240,-941.384546,0.000000
-54.159234,-941.271546,0.000000
-54.119229,-941.158546,0.000000
-54.079224,-941.045546,0.000000
-54.039219,-940.932546,0.000000
-53.999213,-940.819546,0.000000
-53.959208,-940.706546,0.000000
-53.919203,-940.593546,0.000000
-53.879198,-940.480546,0.000000
-53.839192,-940.367546,0.000000
-53.799187,-940.254546,0.000000
-53.759182,-940.141546,0.000000
-53.719177,-940.028546,0.000000
-53.679171,-939.915546,0.000000
-53.639166,-939.802546,0.000000
-53.599161,-939.689546,0.000000
-53.559156,-939.576546,0.000000
-53.519150,-939.463546,0.000000
-53.479145,-939.350546,0.000000
-53.439140,-939.237546,0.000000
-53.399135,-939.124546,0.000000
-53.359130,-939.011546,0.000000
-53.319124,-938.898546,0.000000
-53.279119,-938.785546,0.000000
-53.239114,-938.672546,0.000000
-53.199109,-938.559546,0.000000
-53.159103,-938.446546,0.000000
-53.119098,-938.333546,0.000000
-53.079093,-938.220546,0.000000
-53.039088,-938.107546,0.000000
-52.999082,-937.994546,0.000000
-52.959077,-937.881546,0.000000
-52.919072,-937.768546,0.000000
-52.879067,-937.655546,0.000000
-52.839061,-937.542546,0.000000
-52.799056,-937.429546,0.000000
-52.759051,-937.316546,0.000000
-52.719046,-937.203546,0.000000
-52.679040,-937.090546,0.000000
-52.639035,-936.977546,0.000000
-52.599030,-936.864546,0.000000
-52.559025,-936.751546,0.000000
-52.519019,-936.638546,0.000000
-52.479014,-936.525546,0.000000
-52.439009,-936.412546,0.000000
-52.399004,-936.299546,0.000000
-52.358998,-936.186546,0.000000
-52.318993,-936.073546,0.000000
-52.278988,-935.960546,0.000000
-52.238983,-935.847546,0.000000
-52.198977,-935.734546,0.000000
-52.158972,-935.621546,0.000000
-52.118967,-935.508546,0.000000
-52.078962,-935.395546,0.000000
-52.038956,-935.282546,0.000000
-51.998951,-935.169546,0.000000
-51.958946,-935.056546,0.000000
-51.918941,-934.943546,0.000000
-51.878935,-934.830546,0.000000
